CCTV 설치장소,대수,설치년도,단속구간,단속일자,데이터기준일자
시청후문 앞(중앙로) ,1,2006,광양R↔제주시농협남부지점,2006-08-01,2018-10-01
시청후문 건너편(중앙로) ,1,2006,광양R↔제주시농협남부지점,2006-08-01,2018-10-01
신제주이마트 부근(1100로),1,2006,노형5가↔롯데마트4가,2006-08-01,2018-10-01
시외버스터미널 앞(서광로) ,1,2006,운동장입구4가↔한국병원4가,2006-08-01,2018-10-01
인제공영주차장옆(고마로),1,2006,인제4가↔수협4가,2006-08-01,2018-10-01
제원사거리(신광로),1,2006,(구)문화칼라4가↔그랜드호텔4가청산에살자↔김밥나라,2006-08-01,2018-10-01
제주국제공항1층 1번 ,5,2007,1층및3층고가도로,2008-06-01,2018-10-01
제주국제공항1층 4번,5,2007,1층및3층고가도로,2008-06-01,2018-10-01
제주국제공항3층 1번,5,2007,1층및3층고가도로,2008-06-01,2018-10-01
제주국제공항3층 4번,5,2007,1층및3층고가도로,2008-06-01,2018-10-01
제주공항3층.공항입구,5,2007,1층및3층고가도로,2008-06-01,2018-10-01
도령로남녕고 사거리(도령로),1,2008,한라병원앞↔네이버후드호텔남녕고사거리↔남주빌라,2008-09-01,2018-10-01
농협연북로지점 앞(연북로),1,2008,신한은행4가↔제주은행3가,2008-09-01,2018-10-01
전문건설회관 앞(연북로),1,2008,롯데마트4가↔미래산부인과4가,2008-09-01,2018-10-01
수덕로 정든마을 앞 ,1,2008,본죽4가↔정든마을4가,2008-10-01,2018-10-01
수덕로 뜨란채APT 앞,1,2008,정든마을4가↔새순유치원3가,2008-10-01,2018-10-01
수덕로 이편한세상APT 앞,1,2008,새손유치원3가↔포도원숯불갈비3가,2008-10-01,2018-10-01
광양사거리,1,2009,광양R↔보성시장입구블랙야크↔광양R↔하나은행,2009-07-01,2018-10-01
서광로 CGV 앞(광양) ,1,2009,도남3거리↔블랙야크,2009-07-01,2018-10-01
소방서사거리(중앙로),1,2009,소방서입구↔법원↔나우리마트미래수영장↔우성볼링장,2009-07-01,2018-10-01
한마음병원 앞(연신로),1,2010,한마음병원4가↔GS25,2010-12-01,2018-10-01
한일베라체삼거리(연신로),1,2010,미풍해장국↔GS25제주새마을금고↔탐나마트,2010-12-01,2018-10-01
일도주유소 앞(고마로) ,1,2011,수협4가↔제주은행사거리세계맥주할인점↔민선갈비,2012-03-02,2018-10-01
근로복지공단 앞(연신로),1,2011,제주은행사거리↔한마음병원4가,2012-03-02,2018-10-01
신제주 공영유료주차장(신대로12길),1,2011,타임입구↔로얄호텔4가연동7길(범섬횟집↔에이스팜약국,2012-03-02,2018-10-01
월랑로노형우체국 옆(월랑로) ,1,2011,노형5가↔본죽4가,2012-03-02,2018-10-01
신제주초교오거리(신대로),1,2012,코스모스사거리↔KCTV사거리유지청과↔씨티호텔GS25(스콜죤)↔아산탕,2012-10-02,2018-10-01
이도농협사거리(승천로) ,1,2012,GS25(이도희망점)↔연북로입구성하우스↔신협↔메이플트리,2012-10-02,2018-10-01
월광로 교통섬 ,1,2013,월광마을입구↔오일장3가중앙병원입구↔푸주옥,2013-08-01,2018-10-01
