" 2009년 ","새벽","아침","낮","오전","오후","저녁","밤","미상",
" 절도 ","14648","11568","84710","28263","56447","23900","78080","43774",
" 살인 ","112","64","363","111","252","122","530","199",
" 강도 ","854","202","1229","387","842","345","2383","1366",
" 방화 ","139","67","502","133","369","148","813","197",
" 강간 ","1816","980","3269","1036","2233","902","5653","3536",
" 폭행 ","9279","3982","22832","6923","15909","8174","58002","13255",
" 상해 ","6076","2913","18400","5635","12765","5986","37917","11394",
" 공갈 ","134","170","2603","628","1975","583","1079","1985",
" 약취와유인 ","11","16","145","30","115","20","50","243",
" 체포와감금 ","48","39","282","95","187","69","235","206",
" 폭력행위등처벌에관한법률위반 ","4838","1796","12526","3392","9134","4205","26779","8872",
" 도박과복표 ","265","126","3839","1089","2750","1282","4228","21860",
" 과실치사상 ","52","60","510","157","353","122","366","186",
" 업무상과실치사상 ","77","178","1587","591","996","169","267","437",
" 교통사고처리특례법위반 ","11572","17888","86077","25071","61006","25929","51697","6653",
" 도로교통법위반 ","3278","2747","11783","3506","8277","4189","15619","2745",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
