범죄대분류,범죄중분류,현행범,피해자신고,고소,고발,자수,민간체포,"진정,투서",타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관,범행도구발견,장물,전과조회,기타
강력범죄,살인기수,49,10,9,2,39,0,3,92,3,2,30,0,5,89,0,0,1,0,1,0,0,60
강력범죄,살인미수등,175,170,33,2,15,0,1,83,1,2,42,0,0,0,0,0,1,1,4,0,0,46
강력범죄,강도,350,995,52,1,25,23,7,51,6,27,396,9,45,2,10,0,5,3,11,4,3,215
강력범죄,강간강제추행,3226,6343,3788,30,30,29,53,343,4,47,1847,8,101,5,10,1,18,6,1,0,0,740
강력범죄,방화,433,441,19,3,26,2,3,151,3,4,95,0,10,3,0,0,3,1,2,0,0,144
절도범죄,절도,9291,50879,2921,71,385,539,394,2631,367,1987,22303,175,737,9,705,68,55,82,125,805,16,11815
폭력범죄,상해,13315,26568,12659,36,95,1,517,2346,12,48,674,3,5,20,2,0,48,19,0,0,0,2546
폭력범죄,폭행,46346,57687,5334,79,108,3,367,3543,7,38,724,4,5,31,1,0,23,15,0,0,1,5501
폭력범죄,체포감금,108,261,261,8,0,0,12,58,1,3,26,0,0,0,0,0,4,2,0,0,0,33
폭력범죄,협박,530,977,2005,13,1,0,169,31,0,0,100,0,0,1,0,0,11,1,0,0,0,109
폭력범죄,약취유인,20,70,33,0,0,0,1,9,0,0,24,0,0,0,0,0,0,0,0,0,0,17
폭력범죄,폭력행위등,12583,18768,3170,25,79,5,134,2271,5,51,2221,6,5,8,6,0,45,15,5,4,2,2262
폭력범죄,공갈,184,1928,636,20,10,1,64,69,1,16,1265,0,0,0,2,0,8,1,1,1,0,622
폭력범죄,손괴,8299,12998,3099,44,80,9,232,617,11,26,425,8,23,1,5,1,26,6,4,1,0,1155
지능범죄,직무유기,0,2,226,86,0,0,4,1,0,0,18,0,0,1,0,0,7,0,0,0,0,13
지능범죄,직권남용,1,2,139,23,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,13
지능범죄,증수뢰,6,1,36,29,0,0,8,0,1,0,215,0,0,0,0,0,1,2,0,0,0,41
지능범죄,통화,17,63,0,4,1,0,3,16,0,0,40,0,0,0,2,0,0,0,0,0,0,119
지능범죄,문서인장,185,235,6410,1490,41,8,537,789,3,125,583,2,3,0,1,0,32,26,2,1,1,1173
지능범죄,유가증권인지,8,24,269,18,0,0,6,3,0,0,15,0,0,0,0,0,2,1,0,0,0,13
지능범죄,사기,8084,17002,90431,649,317,25,23084,576,23,624,9637,10,20,7,44,0,443,97,0,3,32,9744
지능범죄,횡령,191,2042,14579,573,63,3,726,285,5,110,1520,5,2,1,2,0,49,8,0,28,1,1730
지능범죄,배임,0,19,2899,241,1,0,39,7,0,4,221,0,1,0,0,0,18,0,0,0,0,211
풍속범죄,성풍속범죄,1385,1082,2130,21,4,21,218,391,0,252,5318,2,2,0,4,0,19,7,3,0,1,2566
풍속범죄,도박범죄,2611,188,40,38,41,0,36,3210,1,120,1629,0,0,0,0,0,34,12,1,0,5,1710
특별경제범죄,특별경제범죄,8341,7310,22063,8071,67,7,1890,638,7,1552,5078,5,3,4,3,0,196,58,10,2,5,3882
마약범죄,마약범죄,101,31,2,77,164,0,4,197,13,27,2188,0,3,3,2,0,4,10,8,0,4,1210
보건범죄,보건범죄,655,263,458,6230,10,0,265,2216,150,413,3010,0,1,6,0,0,13,15,298,0,0,2526
환경범죄,환경범죄,81,24,42,1190,7,13,18,329,1,273,254,0,0,0,1,0,3,5,0,0,0,766
교통범죄,교통범죄,13977,179845,550,803,13843,54,73,65828,29,139133,2162,10,49,40,6,0,29,143,17,9,2,81651
노동범죄,노동범죄,64,24,53,462,1,0,42,91,2,64,230,0,0,1,0,0,17,3,0,0,0,230
안보범죄,안보범죄,5,7,7,1,0,0,1,1,1,0,36,0,0,0,0,0,1,0,0,0,0,47
선거범죄,선거범죄,53,25,91,355,3,0,17,56,0,3,379,0,0,0,0,0,22,8,1,0,0,127
병역범죄,병역범죄,4,5,138,17443,55,1,10,14,2,37,240,0,1,0,0,0,16,4,0,0,2,318
기타,기타,22605,9786,29524,25386,298,38,3774,16713,252,13596,16200,10,52,402,7,1,285,196,19,352,8,21325
