연번,시도,시군구,교통,화재,범죄,자연재해,생활안전,자살,감염병
1,서울특별시, ,1,2,5,1,3,2,3
2,부산광역시, ,2,4,4,3,2,5,5
3,대구광역시, ,4,3,3,2,1,4,4
4,인천광역시, ,2,3,2,4,2,4,2
5,광주광역시, ,4,2,3,2,4,3,4
6,대전광역시, ,3,1,4,4,3,3,3
7,울산광역시, ,3,4,2,5,4,2,2
8,세종특별자치시, ,5,5,1,3,5,1,1
9,경기도, ,1,2,3,2,1,1,1
10,강원도, ,3,5,4,5,3,4,3
11,충청북도, ,2,3,4,4,3,3,3
12,충청남도, ,4,3,3,3,4,4,3
13,전라북도, ,3,4,1,2,2,3,4
14,전라남도, ,5,4,2,3,4,5,4
15,경상북도, ,4,2,2,3,3,3,5
16,경상남도, ,2,3,3,4,2,2,2
17,제주특별자치도, ,3,1,5,1,5,2,2
18,경기,수원시,1,1,4,1,2,2,1
19,경기,성남시,1,2,4,2,2,2,2
20,경기,의정부시,2,1,5,2,2,3,3
21,경기,안양시,1,1,4,2,1,2,2
22,경기,부천시,1,1,5,2,2,2,2
23,경기,광명시,1,2,3,3,1,1,2
24,경기,평택시,3,2,4,4,3,2,2
25,경기,동두천시,3,2,4,2,3,4,3
26,경기,안산시,2,2,5,3,2,3,2
27,경기,고양시,2,1,2,2,1,2,2
28,경기,과천시,2,2,2,1,3,1,2
29,경기,구리시,1,2,5,3,2,2,2
30,경기,남양주시,2,2,1,4,2,2,2
31,경기,오산시,2,2,4,4,2,1,1
32,경기,시흥시,2,2,4,5,3,2,1
33,경기,군포시,1,1,2,4,1,1,1
34,경기,의왕시,2,1,1,3,1,1,1
35,경기,하남시,2,2,2,3,2,2,2
36,경기,용인시,2,2,1,3,1,1,2
37,경기,파주시,3,3,2,3,3,3,3
38,경기,이천시,3,3,3,4,3,2,3
39,경기,안성시,4,5,3,2,4,3,3
40,경기,김포시,2,4,1,1,2,2,2
41,경기,화성시,2,3,2,5,3,2,1
42,경기,광주시,3,3,2,5,3,2,2
43,경기,양주시,3,3,2,4,4,3,3
44,경기,포천시,4,5,4,5,5,4,3
45,경기,여주시,4,5,3,2,4,4,4
46,강원,춘천시,3,5,4,4,3,3,4
47,강원,원주시,3,4,5,1,2,3,3
48,강원,강릉시,3,4,5,5,4,4,4
49,강원,동해시,3,3,4,3,4,3,3
50,강원,태백시,4,2,4,4,4,4,4
51,강원,속초시,4,2,5,3,3,5,3
52,강원,삼척시,4,5,4,3,5,4,4
53,충북,청주시,3,3,4,1,2,3,3
54,충북,충주시,4,3,3,5,3,4,3
55,충북,제천시,4,3,4,5,4,4,4
56,충남,천안시,2,2,4,4,3,3,2
57,충남,공주시,5,4,1,2,5,4,4
58,충남,보령시,4,5,3,4,5,5,4
59,충남,아산시,3,3,3,2,3,3,3
60,충남,서산시,4,4,2,4,4,4,4
61,충남,논산시,5,4,3,3,4,5,5
62,충남,계룡시,2,3,1,1,1,1,1
63,충남,당진시,4,4,2,4,5,3,3
64,전북,전주시,3,2,3,3,2,2,3
65,전북,군산시,3,4,4,2,3,4,3
66,전북,익산시,4,4,3,2,3,4,4
67,전북,정읍시,4,4,2,3,5,5,5
68,전북,남원시,5,4,2,2,4,5,4
69,전북,김제시,5,5,3,3,5,5,5
70,전남,목포시,3,2,5,2,3,3,4
71,전남,여수시,3,3,4,4,3,3,4
72,전남,순천시,3,4,3,3,3,3,3
73,전남,나주시,4,4,2,3,4,4,5
74,전남,광양시,3,3,2,3,3,3,3
75,경북,포항시,3,3,3,2,2,3,3
76,경북,경주시,4,3,3,4,4,3,4
77,경북,김천시,4,4,3,2,4,4,4
78,경북,안동시,5,4,3,3,4,4,4
79,경북,구미시,2,2,3,3,2,2,2
80,경북,영주시,4,4,2,1,4,4,5
81,경북,영천시,5,4,3,4,4,5,5
82,경북,상주시,5,4,1,2,5,5,5
83,경북,문경시,5,3,2,2,4,4,5
84,경북,경산시,3,3,4,4,3,3,3
85,경남,창원시,2,2,3,4,2,2,2
86,경남,진주시,3,3,3,4,2,3,3
87,경남,통영시,3,3,4,4,4,4,4
88,경남,사천시,4,4,2,3,3,3,4
89,경남,김해시,2,3,3,3,2,2,2
90,경남,밀양시,4,5,2,4,4,4,4
91,경남,거제시,2,3,3,3,3,3,2
92,경남,양산시,2,3,2,2,2,2,3
93,부산,기장군,1,1,4,2,1,1,1
94,대구,달성군,1,1,4,1,1,1,1
95,인천,강화군,3,3,4,3,4,2,3
96,인천,옹진군,3,3,2,1,5,5,1
97,울산,울주군,1,1,3,3,1,1,1
98,경기,연천군,2,4,4,4,3,3,2
99,경기,가평군,3,4,5,2,5,3,2
100,경기,양평군,1,4,4,4,3,1,2
101,강원,홍천군,2,3,4,5,2,3,2
102,강원,횡성군,3,5,3,2,4,2,2
103,강원,영월군,3,2,3,3,4,2,4
104,강원,평창군,2,5,4,4,5,4,2
105,강원,정선군,3,2,5,3,3,3,3
106,강원,철원군,2,2,3,3,1,2,3
107,강원,화천군,2,1,3,5,2,2,1
108,강원,양구군,2,1,3,4,1,3,2
109,강원,인제군,2,2,3,5,3,1,3
110,강원,고성군,2,2,4,2,4,2,2
111,강원,양양군,3,4,5,4,4,3,3
112,충북,보은군,3,3,2,4,4,4,4
113,충북,옥천군,2,2,2,2,3,3,2
114,충북,영동군,2,4,2,2,4,4,3
115,충북,증평군,1,1,2,3,1,2,1
116,충북,진천군,1,2,5,4,2,2,2
117,충북,괴산군,4,5,3,3,4,4,3
118,충북,음성군,2,4,5,2,2,2,2
119,충북,단양군,3,2,4,4,5,3,4
120,충남,금산군,3,4,3,4,4,4,2
121,충남,부여군,5,3,2,3,3,2,3
122,충남,서천군,4,3,2,2,4,4,3
123,충남,청양군,5,5,1,1,5,4,4
124,충남,홍성군,2,3,4,3,2,3,2
125,충남,예산군,4,2,4,1,2,4,3
126,충남,태안군,4,3,5,3,5,3,3
127,전북,완주군,3,2,3,3,2,2,2
128,전북,진안군,2,3,1,1,4,4,3
129,전북,무주군,2,3,2,1,4,4,3
130,전북,장수군,2,3,2,4,4,5,5
131,전북,임실군,3,2,2,2,3,4,3
132,전북,순창군,5,5,1,3,3,4,4
133,전북,고창군,4,4,3,4,2,3,4
134,전북,부안군,4,4,3,5,2,2,3
135,전남,담양군,4,3,4,5,3,2,3
136,전남,곡성군,3,4,2,3,5,2,3
137,전남,구례군,3,4,4,2,2,3,3
138,전남,고흥군,4,4,3,2,3,5,4
139,전남,보성군,5,4,3,3,3,4,3
140,전남,화순군,2,3,3,4,3,3,2
141,전남,장흥군,4,5,5,4,3,5,4
142,전남,강진군,3,3,3,3,3,3,5
143,전남,해남군,4,4,4,2,2,3,4
144,전남,영암군,4,2,4,5,4,4,3
145,전남,무안군,2,3,2,2,1,2,2
146,전남,함평군,4,4,1,4,3,4,4
147,전남,영광군,3,2,4,3,2,5,2
148,전남,장성군,4,2,4,2,3,3,2
149,전남,완도군,3,1,3,3,2,3,3
150,전남,진도군,3,3,4,4,2,5,5
151,전남,신안군,3,2,1,3,2,4,4
152,경북,군위군,5,3,1,4,4,3,5
153,경북,의성군,5,3,2,2,2,4,4
154,경북,청송군,4,3,3,3,4,5,5
155,경북,영양군,4,2,1,3,4,3,4
156,경북,영덕군,5,3,5,2,4,4,5
157,경북,청도군,4,2,3,3,3,4,5
158,경북,고령군,3,2,2,1,3,3,4
159,경북,성주군,5,3,3,3,3,3,4
160,경북,칠곡군,1,2,4,2,1,1,1
161,경북,예천군,4,3,2,3,3,3,4
162,경북,봉화군,3,4,1,4,3,4,4
163,경북,울진군,2,2,3,4,3,1,4
164,경북,울릉군,1,1,2,3,2,1,1
165,경남,의령군,4,4,2,4,4,3,4
166,경남,함안군,3,4,3,4,3,2,2
167,경남,창녕군,4,3,3,2,2,3,2
168,경남,고성군,4,4,4,2,2,2,3
169,경남,남해군,3,4,2,5,4,2,4
170,경남,하동군,3,3,3,4,3,2,3
171,경남,산청군,3,5,3,5,5,4,4
172,경남,함양군,2,5,2,3,3,3,3
173,경남,거창군,2,3,4,1,2,2,3
174,경남,합천군,4,4,2,2,4,5,5
175,서울,종로구,3,5,5,2,5,3,3
176,서울,중구,5,5,5,3,5,4,4
177,서울,용산구,3,4,4,4,4,4,3
178,서울,성동구,2,2,3,2,2,3,3
179,서울,광진구,1,1,4,1,3,1,2
180,서울,동대문구,1,4,4,1,3,3,3
181,서울,중랑구,1,1,4,2,3,4,3
182,서울,성북구,2,2,2,4,2,3,4
183,서울,강북구,2,4,4,1,4,4,4
184,서울,도봉구,2,4,1,3,2,2,4
185,서울,노원구,2,2,2,3,1,3,3
186,서울,은평구,2,3,3,3,2,3,4
187,서울,서대문구,2,2,3,3,3,2,2
188,서울,마포구,2,3,4,1,4,3,2
189,서울,양천구,1,1,3,2,1,1,1
190,서울,강서구,2,3,2,3,2,3,3
191,서울,구로구,1,3,4,4,3,3,2
192,서울,금천구,2,2,4,3,4,4,3
193,서울,영등포구,2,3,4,3,4,4,3
194,서울,동작구,1,1,3,2,1,2,2
195,서울,관악구,2,2,3,1,3,3,3
196,서울,서초구,3,4,3,4,4,1,2
197,서울,강남구,2,4,4,3,4,2,2
198,서울,송파구,1,2,3,2,3,1,2
199,서울,강동구,2,2,3,2,2,2,2
200,부산,중구,5,5,5,2,5,5,5
201,부산,서구,4,4,4,4,4,4,5
202,부산,동구,4,5,5,4,4,5,5
203,부산,영도구,4,3,3,4,4,5,5
204,부산,부산진구,3,4,5,2,3,4,4
205,부산,동래구,2,4,3,2,2,2,3
206,부산,남구,3,3,2,2,2,4,4
207,부산,북구,3,2,2,4,1,4,3
208,부산,해운대구,3,3,2,5,1,4,3
209,부산,사하구,3,3,2,2,3,3,4
210,부산,금정구,4,3,2,2,3,3,3
