"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 중앙로 105,,다목적,12,,,,2018-04,064-760-2055,33.254092,126.560194,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 중앙로 105,,다목적,34,,,,2018-04,064-760-2055,33.254092,126.560194,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 중앙로 105,,다목적,24,,,,2017-11,064-760-2055,33.254092,126.560194,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 중앙로 105,,다목적,28,,,,2017-11,064-760-2055,33.254092,126.560194,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 신중로 55 (2청사 동쪽 내부),,다목적,1,,,,2014-04,064-760-2055,33.255441,126.510606,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 중앙로 105,,다목적,16,,,,2017-11,064-760-2044,33.254092,126.560194,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 강정동 4362,,다목적,7,,,,2018-04,064-760-2581,33.2375458,126.4769981,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 서호남로 10,,다목적,14,,,,2017-11,064-760-2254,33.254121,126.3315148,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 동홍중앙로7번길 19,,다목적,7,,,,2016-05,064-760-3965,33.2512963871,126.570321173,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 서홍동 666-1,,다목적,1,,,,2004-04,064-760-3283,33.247217,126.554658,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 남원읍 하례리 1642,,다목적,1,,,,2007-04,064-760-3283,33.286521,126.608170,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 서홍동 718-3,,다목적,1,,,,2004-05,064-760-3283,33.242239,126.558918,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 도순동 1185-1,,다목적,1,,,,2009-04,064-760-3283,33.259364,126.474559,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 강정동 3313-5,,다목적,1,,,,2009-05,064-760-3283,33.250879,126.489221,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 동홍동 1703,,다목적,1,,,,2009-05,064-760-3283,33.265606,126.565135,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 서홍동 1610,,다목적,1,,,,2009-04,064-760-3283,33.264141,126.554432,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 남원읍 하례리 156,,다목적,1,,,,2009-04,064-760-3283,33.258566,126.624216,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 남원읍 신례리 1223,,다목적,1,,,,2009-04,064-760-3283,33.294019,126.624763,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 색달동 1713,,다목적,1,,,,2009-04,064-760-3283,33.262874,126.423088,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 안덕면 창천리 154,,다목적,1,,,,2009-04,064-760-3283,33.265396,126.372220,2018-07-31
"제주특별자치도 서귀포시",제주특별자치도 서귀포시 표선면 성읍리 483-7,,다목적,1,,,,2009-05,064-760-3283,33.395445,126.801083,2018-07-31
