범죄대분류,범죄중분류, 서울 , 부산 , 대구 , 인천 , 광주 , 대전 , 울산 ,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경남,경남,경남,경남,경남,경남,경남, 제주 ,전북,전북,전북,전북,전북,충남,충남,충남,충남,충남,전남,전남,전남,전남,강원,강원,강원,강원,ㅇ,경북,경북,경북,경북,경북,경북,,충북,충북,충북,충북,,, 기타도시 , 도시이외 
강력범죄,살인기수,66,28,17,21,15,10,9,1,7,7,2,4,7,6,5,1,1,3,1,2,5,2,4,58,1,4,3,13,4,4,29,7,4,3,1,11,19,3,1,1,4,9,0,1,5,6,2,4,3,9,3,2,3,4,1,0,13,,5,2,1,8,,,36,51
강력범죄,살인미수등,112,56,16,29,13,20,14,11,13,11,3,7,5,6,4,3,0,4,2,6,8,7,8,98,3,4,3,12,7,1,30,7,3,1,2,5,11,5,2,4,10,21,4,4,2,10,4,1,1,6,5,5,1,1,1,4,17,,12,6,1,19,,,57,48
강력범죄,강도,569,295,102,135,102,100,37,49,74,28,10,27,16,21,34,8,13,11,9,25,34,41,30,430,5,5,13,52,28,18,121,35,13,12,18,24,67,9,15,9,31,64,16,13,13,42,13,15,2,30,28,12,31,5,8,5,89,,48,11,8,67,,,181,121
강력범죄,강간강제추행,4916,1332,974,1227,861,523,373,413,548,377,118,152,135,201,204,82,78,129,109,222,323,356,221,3668,9,83,84,333,141,85,735,264,143,33,88,265,529,58,87,39,290,474,104,116,100,320,88,151,88,327,131,96,128,64,94,34,547,,271,64,43,378,,,1220,1002
강력범죄,방화,370,125,86,109,68,58,38,46,35,36,9,15,18,22,29,12,10,12,7,17,23,38,18,347,1,13,12,16,24,10,76,35,7,1,9,14,31,8,10,7,24,49,9,9,17,35,8,9,11,28,20,25,10,8,15,4,82,,24,14,7,45,,,173,142
절도범죄,절도,61332,25494,16554,10394,12678,12568,6118,6714,6854,5300,1232,2918,1847,3022,1610,769,1298,1294,1471,2216,3931,4598,2556,47630,364,1361,1504,6540,3645,1837,15251,5053,2180,484,1104,3571,7339,668,1877,817,5252,8614,1933,1413,1287,4633,1357,2281,1379,5017,2587,1753,2752,885,1499,539,10015,,4980,1216,524,6720,,,18734,16316
폭력범죄,상해,10742,6875,3851,2894,1544,1799,1538,732,1272,1230,180,553,375,526,362,221,233,313,344,339,711,771,686,8848,77,486,369,1409,572,458,3371,1078,300,159,368,529,1356,230,456,185,771,1642,530,416,374,1320,587,656,427,1670,584,449,705,286,298,157,2479,,723,272,199,1194,,,5265,4876
폭력범죄,폭행,36209,6750,6493,7815,6051,1681,3139,3292,3017,2706,864,1134,1407,1376,1545,579,859,918,864,1733,2080,2403,1647,26424,119,375,588,2245,1211,581,5119,1639,732,229,686,1700,3347,186,401,59,1203,1849,1027,1038,727,2792,552,1475,667,2694,688,401,765,393,548,201,2996,,1939,341,183,2463,,,8378,4707
폭력범죄,체포감금,155,78,30,36,24,19,10,17,28,23,0,15,7,12,9,8,2,7,5,8,10,12,11,174,0,4,3,18,6,7,38,15,5,4,9,19,37,1,6,1,20,28,6,11,4,21,10,9,4,23,7,2,6,6,8,1,30,,14,4,3,21,,,59,78
폭력범죄,협박,1024,366,196,157,176,117,81,79,88,81,19,52,39,42,32,17,21,29,25,35,86,67,41,753,8,20,31,72,43,37,211,88,28,17,43,53,141,6,30,2,44,82,32,21,20,73,40,56,26,122,32,15,35,16,18,6,122,,49,15,12,76,,,349,346
