범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,제주,전북,전북,전북,전북,강원,강원,강원,강원,경남,경남,경남,경남,경남,경남,경남,전남,전남,전남,전남,충북,충북,충북,충북,경북,경북,경북,경북,경북,경북,경북,전북,경기,경기,경기,경기,경기,경기,경기,경기,충남,충남,충남,충남,충남,기타도시,도시이외
강력범죄 ,살인기수,49,26,12,13,6,12,10,6,5,3,6,1,3,2,4,3,33,10,2,2,5,9,3,5,7,15,3,0,13,2,1,0,19,3,5,0,8,0,3,2,5,3,4,1,2,0,1,11,1,0,2,8,4,4,2,0,20,8,3,4,1,16,31,37
강력범죄 ,살인미수등,101,50,28,26,17,18,8,9,9,5,9,1,3,7,7,4,54,20,1,12,2,15,2,1,4,7,7,0,11,5,2,2,27,2,4,2,8,2,10,3,15,4,2,3,6,2,1,18,2,0,5,7,5,2,5,1,25,12,7,2,4,25,52,71
강력범죄 ,강도,421,224,110,117,86,69,45,36,40,9,35,5,11,16,23,33,208,38,17,13,11,41,7,7,11,25,15,0,49,12,4,5,85,19,6,15,40,3,34,7,44,18,11,8,9,7,4,57,3,8,10,18,26,13,3,5,83,39,3,18,2,62,127,95
강력범죄 ,강간,1190,470,256,308,246,198,114,99,144,64,83,21,51,60,83,76,681,97,51,74,25,150,27,44,31,102,48,0,120,36,18,23,245,50,40,35,125,14,80,26,120,53,37,21,42,26,12,191,17,19,35,58,52,27,23,27,241,101,15,28,21,165,445,392
강력범죄 ,유사강간,25,15,4,10,12,2,6,4,2,1,5,0,1,3,3,4,23,2,0,0,1,1,0,0,2,2,2,0,1,1,1,0,5,0,0,0,0,1,1,0,2,3,1,0,2,0,0,6,1,1,0,0,3,0,0,2,6,1,0,0,0,1,2,7
강력범죄 ,강제추행,3916,1179,808,882,519,395,284,305,432,173,262,71,147,146,272,278,2086,228,71,174,56,301,62,60,90,212,108,1,197,65,61,58,490,81,71,58,210,35,202,45,282,94,73,37,91,149,24,468,17,62,102,147,118,72,51,49,601,177,31,67,30,305,958,637
강력범죄 ,기타강간강제추행,253,126,77,87,46,49,45,27,31,10,32,7,18,10,21,22,178,57,10,46,7,63,11,15,6,32,31,0,45,12,9,8,105,14,14,8,36,1,23,4,28,30,14,6,7,14,2,73,9,7,9,13,7,12,7,3,58,29,3,6,4,42,134,149
강력범죄 ,방화,317,113,77,99,46,66,38,25,40,14,28,6,14,20,28,37,212,46,8,20,12,40,8,10,13,31,14,0,39,12,6,4,75,9,19,8,36,4,13,9,26,11,21,6,21,26,4,89,5,9,9,22,10,13,6,4,73,43,5,9,9,66,163,125
절도범죄,절도,61600,23887,17481,10989,12419,11717,6643,6881,6642,2464,4187,1569,2353,2901,3890,5028,35915,5834,2126,4222,1103,7451,1375,1130,2033,4538,3158,6,7173,1866,1652,1373,15228,1773,1356,1361,4490,628,4737,1319,6684,2629,1844,795,2575,1480,581,9904,399,1219,1727,2869,1906,1332,838,1239,11130,4551,863,1888,789,8091,18149,15794
폭력범죄 ,상해,9029,6113,3317,2730,1255,1845,1445,613,1069,591,650,253,320,556,575,959,5586,1075,238,468,270,976,502,450,589,1541,522,2,1411,441,626,266,3268,505,311,417,1233,174,723,256,1153,603,406,288,710,297,170,2474,137,149,332,431,347,288,209,152,1908,614,165,366,187,1332,4918,4549
폭력범죄 ,폭행,34996,7139,5310,7802,5609,2079,3361,2906,3160,1628,2051,1040,1736,1187,2019,2449,18176,2227,806,1597,730,3133,588,512,1514,2614,1286,0,2286,616,394,669,5251,1040,989,695,2724,225,1973,274,2472,586,359,297,842,490,223,2797,255,782,1360,1223,1544,762,594,782,7047,1435,64,531,178,2208,8622,4877
폭력범죄 ,체포감금,141,49,43,42,28,27,30,16,35,6,14,7,15,11,26,16,146,15,9,8,7,24,4,3,9,16,9,0,14,5,2,4,34,6,4,7,17,5,13,5,23,9,5,7,11,2,2,36,3,4,13,13,5,9,5,4,53,10,1,7,4,22,98,82
