범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경기,경북,경북,경북,경북,경북,경북,경북,경남,경남,경남,경남,경남,경남,제주,전남,전남,전남,전남,전북,전북,전북,전북,강원,강원,강원,강원,충북,충북,충북,충남,충남,충남,충남,충남,기타도시,도시이외
강력범죄,살인기수,56,21,17,16,12,12,13,6,6,4,7,0,2,1,9,4,2,1,1,8,4,4,4,0,2,65,6,5,3,0,3,0,17,2,7,7,1,1,18,5,1,3,4,8,4,2,2,8,1,2,1,4,2,1,3,6,3,2,2,13,33,51
강력범죄,살인미수등,100,50,17,34,7,17,10,3,6,12,5,7,12,2,3,7,7,7,0,1,4,8,6,4,1,95,5,0,5,0,4,1,15,5,5,14,4,4,32,13,3,1,0,4,1,3,1,5,1,4,3,8,2,5,7,11,4,5,4,24,51,52
강력범죄,강도,341,131,63,111,53,82,32,30,24,31,28,12,32,12,19,17,13,19,5,15,17,12,10,13,7,316,5,20,5,0,4,3,37,7,7,37,5,9,65,25,12,8,5,25,13,8,4,25,13,12,11,36,4,6,10,33,8,4,5,50,103,81
강력범죄,강간,1045,399,219,308,220,168,126,57,78,131,102,77,79,35,74,43,46,39,24,37,58,41,36,15,22,994,40,44,35,19,21,4,163,44,31,99,26,25,225,73,30,24,23,77,51,23,12,86,31,51,28,110,15,8,23,75,23,16,13,127,392,323
강력범죄,유사강간,99,35,12,17,18,10,7,3,6,11,16,4,3,2,7,4,2,11,2,1,2,5,3,1,0,83,1,4,1,0,0,1,7,2,2,5,0,4,13,9,2,1,0,3,2,2,0,4,0,0,2,2,2,2,4,4,0,1,1,6,26,20
강력범죄,강제추행,4132,1035,675,822,577,365,296,164,273,395,299,232,199,64,190,224,144,139,61,101,164,81,84,44,56,2914,96,59,72,33,59,18,337,87,97,181,67,51,483,198,91,56,72,219,62,86,37,185,70,93,64,227,35,55,90,193,69,47,29,338,1000,718
강력범죄,기타강간강제추행등,181,80,70,58,22,29,14,18,18,12,14,10,8,5,10,5,4,7,6,1,19,13,1,8,3,162,10,5,8,3,6,1,33,4,9,11,4,4,32,33,8,4,2,14,9,7,9,25,3,6,8,17,6,4,10,13,5,7,5,30,88,93
강력범죄,방화,314,109,81,112,44,42,36,18,27,33,21,10,64,4,36,28,24,21,6,8,11,16,12,5,12,356,9,10,13,7,9,12,60,13,11,28,4,10,66,42,7,15,9,31,8,15,1,24,8,12,11,31,10,3,13,33,11,10,8,62,155,145
절도범죄,절도,59371,21898,14609,9737,10361,11453,5777,3795,5682,6774,4551,2179,4805,1666,4225,3690,2600,2820,1287,1784,2916,1874,1270,734,1023,53675,2532,2315,1239,746,1408,571,8811,3784,2265,5519,1313,1274,14155,4980,1637,1144,1344,4125,1749,1311,489,3549,1109,1786,1074,3969,1092,583,1675,4412,1430,802,692,7336,17551,13190
폭력범죄,상해,7985,5422,2955,2344,1186,1616,1349,467,579,892,852,399,821,195,632,543,357,551,165,310,429,339,241,190,120,8082,614,568,386,236,275,145,2224,624,349,1237,468,286,2964,878,346,288,334,968,201,262,121,584,437,465,409,1311,257,175,432,536,362,207,156,1261,4638,4082
