범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타도시,도시이외
강력범죄,살인기수,50,21,16,11,3,8,5,1,48,10,13,13,8,4,18,21,4,1,46
강력범죄,살인미수등,91,41,30,24,6,14,12,5,120,14,14,19,14,15,11,30,14,0,50
강력범죄,강도,167,102,37,73,33,41,25,3,202,22,20,30,24,17,47,51,35,3,35
강력범죄,강간,1155,334,201,352,203,176,97,17,1100,124,151,173,147,129,200,229,96,6,333
강력범죄,유사강간,144,43,26,44,23,33,2,0,123,13,19,16,24,18,25,21,6,2,54
강력범죄,강제추행,5582,1282,610,1282,490,481,302,53,3872,308,360,456,335,268,473,695,271,18,809
강력범죄,기타강간강제추행등,60,23,8,13,10,9,9,2,71,8,8,9,2,10,12,16,3,0,31
강력범죄,방화,225,90,71,81,35,37,33,3,299,42,39,72,45,43,60,69,15,0,113
절도범죄,절도,41144,15807,8310,9216,4821,6216,3578,582,40796,3999,4465,6835,4609,3239,7421,10270,3223,19,9207
폭력범죄,상해,6016,4220,2781,2074,1171,1165,1409,152,7890,1745,1109,1814,1275,1228,2257,3500,984,31,3790
폭력범죄,폭행,36312,10174,6885,11586,4856,5256,3863,285,40416,4241,3325,4202,4146,3570,4919,7235,2508,19,6043
폭력범죄,체포감금,258,68,65,210,38,43,22,6,312,35,43,53,46,33,45,49,19,1,93
폭력범죄,협박,2923,1010,688,928,362,503,420,52,4196,363,352,511,404,340,567,682,325,21,852
폭력범죄,약취유인,49,18,8,15,3,6,8,0,55,1,3,5,4,4,7,10,1,1,8
폭력범죄,폭력행위등,2119,940,441,773,373,278,264,35,2719,303,188,398,407,264,426,598,190,6,533
폭력범죄,공갈,739,360,177,368,90,96,76,16,1021,67,84,109,105,81,174,244,57,41,247
폭력범죄,손괴,10985,3707,2645,3456,1474,1463,1297,170,14184,1685,1503,2047,1253,1189,2318,2741,1219,4,2943
지능범죄,직무유기,116,32,10,12,24,10,15,12,81,22,5,16,13,12,17,27,2,2,76
지능범죄,직권남용,137,32,14,25,11,2,11,6,94,10,4,18,11,4,24,27,7,0,57
지능범죄,증수뢰,54,25,10,13,6,5,4,0,65,2,6,3,16,10,5,23,7,1,57
지능범죄,통화,1146,76,40,152,27,97,24,9,733,78,62,84,30,13,40,24,21,5,133
지능범죄,문서인장,2598,829,446,579,336,346,225,50,2447,253,267,354,343,207,381,777,992,62,960
지능범죄,유가증권인지,98,5,10,18,5,4,2,0,48,3,2,2,1,3,2,6,0,2,6
지능범죄,사기,49935,19036,10495,12302,6450,6616,5198,785,52219,4405,5033,7571,7101,4320,9462,13636,3176,1640,12109
지능범죄,횡령,15282,3376,2053,2879,1477,1287,863,252,12777,703,818,1372,867,600,1315,2027,634,104,1812
지능범죄,배임,928,315,128,167,65,67,84,17,828,65,66,129,95,64,142,205,47,15,279
풍속범죄,성풍속범죄,4102,1048,581,1060,360,451,170,60,3563,186,205,269,191,146,353,472,160,50,385
풍속범죄,도박범죄,1216,1992,508,302,210,203,214,15,1381,138,153,241,212,143,531,505,138,52,535
특별경제범죄,특별경제범죄,15101,4459,2103,3118,1265,1207,1042,230,12359,907,926,1236,902,824,1614,2431,1054,479,2099
마약범죄,마약범죄,1746,971,258,586,31,97,73,19,1430,140,194,242,58,64,248,653,38,25,628
보건범죄,보건범죄,3606,1519,321,644,279,188,152,10,2575,276,135,303,266,194,334,817,136,18,788
환경범죄,환경범죄,52,1196,14,79,7,12,34,1,1340,104,20,101,99,474,279,327,48,14,678
교통범죄,교통범죄,67430,28061,25380,24507,18734,14695,11264,1322,132528,14983,14314,15959,13199,13498,24461,2930,13649,239,37639
노동범죄,노동범죄,587,228,371,55,12,143,104,4,758,41,16,37,17,37,29,170,99,4,110
안보범죄,안보범죄,23,3,3,3,5,1,3,2,26,2,1,0,3,3,1,7,4,2,6
선거범죄,선거범죄,141,39,23,54,18,10,21,1,131,13,8,11,15,10,23,51,7,0,64
병역범죄,병역범죄,3735,593,568,1183,268,447,212,111,4318,221,257,553,314,243,529,871,142,53,709
기타범죄,기타범죄,42994,16779,8689,17000,4624,5191,5394,578,61997,6636,4302,8072,6698,5249,7644,13401,3939,832,14852
