"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F3183,17,제주시,04,97번,번영로,02,제주특별자치도 제주시 번영로 452 봉아름 주유소 앞,제주시 봉개동 2571-5,33.49256467,126.58997910,봉아름 주유소 앞,01,70,,,,2005,제주지방경찰청,064-798-3052,2019-09-19
F3184,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 일주서로 7837 제주 서중 앞,제주시 연동 2005-28,33.49372939,126.48250670,제주 서중 앞,01,60,,,,2005,제주지방경찰청,064-798-3052,2019-09-19
F3187,17,서귀포시,04,1131번,5.16도로,02,제주특별자치도 서귀포시 516로 575 하례입구 교차로 앞,서귀포시 상효동 1130,33.30200617,126.59962160,하례입구 교차로 앞,01,60,,,,2005,제주지방경찰청,064-798-3052,2019-09-19
F3445,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 1057 상예주유소 앞,서귀포시 상예동 246-1,33.26263694,126.39860240,상예주유소 앞,01,70,,,,2007,제주지방경찰청,064-798-3052,2019-09-19
F3448,17,서귀포시,04,1136번,중산간도로,02,제주특별자치도 서귀포시 중산간동로 7862 오일시장 동측,서귀포시 동홍동 766-9,33.26635147,126.57695090,오일시장 동측,01,60,,,,2007,제주지방경찰청,064-798-3052,2019-09-19
F3449,17,서귀포시,04,1136번,중산간도로,02,제주특별자치도 서귀포시 중산간동로 8338 반도주유소 앞,서귀포시 호근동 1997-5,33.26128381,126.52650840,반도주유소 앞,01,60,,,,2007,제주지방경찰청,064-798-3052,2019-09-19
F3696,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 일주동로 8450 삼성여고 사거리,서귀포시 토평동 1046,33.25774586,126.58593840,삼성여고 사거리,02,70,,,,2007,제주지방경찰청,064-798-3052,2019-09-19
F4186,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 표선면 일주동로 6275 가마초등학교,서귀포 표선면 세화리 1540-1 가마초등학교 서측 40m,33.30655900,126.79979700,가마초등학교 앞,01,50,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4187,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 7582 위미중학교 입구,서귀포시 위미2리 1536 위미중학교 입구,33.27846350,126.67075530,위미중학교 입구,01,60,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4188,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 일주서로 222 용흥마을 입구,서귀포시 강정동 4051-16 용흥마을,33.25037244,126.48364230,용흥마을 입구,01,70,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4189,17,서귀포시,04,1136번,중산간서로,01,제주특별자치도 서귀포시 중산간서로 778 중문입구,서귀포시 중문동 1130-4 중문입구,33.26257108,126.43080340,중문입구 중문요양병원 맞은편,01,60,,,01,2008,제주지방경찰청,064-798-3052,2019-09-19
F4192,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 애월읍 일주서로 6702 신엄리 정류장 앞,제주시 애월읍 신엄리 1305-9 신엄리 정류장 앞,33.47139870,126.36769850,신엄리 정류장 앞,01,50,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4193,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한림읍 일주서로 5761 새마을 금고 서측,제주시 한림읍 귀덕리 3346-3 새마을금고 서측,33.43818045,126.28009220,귀덕리 새마을 금고 서측,01,70,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4194,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 한림읍 일주서로 4726 월령교차로 앞,제주시 한림읍 월령리 451-3 월령마을 입구,33.37467939,126.21561710,월령교차로 앞,01,60,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4196,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 조천읍 일주동로 650-8 진드르,제주시 조천읍 신촌리 3171-14 진드르,33.52665367,126.61191900,진드르,01,80,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4197,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 조천읍 일주동로 1514 북촌리사무소 맞은편,제주시 조천읍 북촌리 688-3 북촌리사무소 동측,33.54845908,126.69605530,북촌리사무소 맞은편,01,60,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4198,17,제주시,04,1135번,평화로,01,제주특별자치도 제주시 애월읍 평화로 2820-67 무수천 사가로,제주시 애월읍 광령리 8-1,33.45992544,126.44701640,무수천 사가로,02,70,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4199,17,서귀포시,04,1135번,평화로,02,제주특별자치도 서귀포시 안덕면 중산간서로 1866 서광1교차로,서귀포시 안덕면 서광리 789-1,33.28850958,126.32410720,서광1교차로,02,80,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4200,17,제주시,04,1131번,중앙로,01,제주특별자치도 제주시 중앙로 613 제대병원 사거리,제주시 아라1동 1810-14,33.46947808,126.54739630,제대병원 사거리,02,60,,,,2008,제주지방경찰청,064-798-3052,2019-09-19
F4481,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 2982 평대초교 4가,제주시 구좌읍 평대리 649-9,33.52885539,126.83942010,평대초교 4가,02,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F4482,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 번영로 527 봉개교차로,제주시 봉개동 1542-4,33.48887869,126.59777050,봉개교차로,02,70,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4483,17,제주시,04,1131번,516로,01,제주특별자치도 제주시 516로 2596 제주마방목지 서측 100m,제주시 용강동 산 14-3 제주마방목지 서측 100m,33.42739847,126.60211970,제주마방목지 서측 100m,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4484,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 3387 하도초교 앞,제주시 구좌읍 하도리 2261-3 하도초교 앞,33.51811011,126.87975330,하도초교 앞,01,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F4485,17,제주시,05,대로1009,연북로,02,제주특별자치도 제주시 연북로 145 정실입구 교차로,제주시 연동 419-2,33.48191242,126.49581270,정실입구 교차로,02,70,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
