" 2010년 "," 새벽 "," 아침 "," 낮 "," 오전 "," 오후 "," 저녁 "," 밤 "," 미상 ",
" 절도 ","15306","13206","90967","30190","60777","27087","81473","39968",
" 살인 ","109","57","330","115","215","127","448","191",
" 강도 ","581","144","833","237","596","241","1665","931",
" 방화 ","203","83","439","101","338","128","815","218",
" 강간 ","1982","1361","3825","1166","2659","1298","6798","4675",
" 폭행 ","8802","3695","21687","6478","15209","7983","54340","13073",
" 상해 ","5226","2459","14861","4507","10354","5034","31066","12139",
" 공갈 ","95","155","1835","398","1437","468","1020","1660",
" 약취와유인 ","5","15","98","19","79","20","35","52",
" 체포와감금 ","34","38","219","89","130","65","216","192",
" 폭력행위등처벌에관한법률위반 ","4160","1457","9322","2402","6920","3342","21705","7415",
" 도박과복표 ","169","127","2500","534","1966","1086","3331","6062",
" 과실치사상 ","55","47","493","147","346","124","392","298",
" 업무상과실치사상 ","92","194","1589","629","960","147","240","546",
" 교통사고처리특례법위반 ","11278","17813","84237","24798","59439","25847","52378","6822",
" 도로교통법위반 ","3193","2846","15067","4450","10617","4438","15700","2745",
