범죄대분류,범죄중분류,현행범,피해자신고,고소,고발,자수,민간체포,"진정,투서",타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관,범행도구발견,장물,전과조회,기타
강력범죄,살인기수,56,17,14,3,32,0,1,85,0,1,26,0,0,77,0,0,0,1,4,0,0,40
강력범죄,살인미수등,213,134,34,2,15,0,0,94,1,1,26,0,1,1,0,0,1,0,0,0,0,29
강력범죄,강도,210,702,41,1,8,3,3,38,3,14,283,2,20,6,22,0,0,2,3,0,0,96
강력범죄,강간,344,2449,894,6,11,3,31,219,4,6,927,2,18,4,1,0,9,8,0,0,0,165
강력범죄,유사강간,43,222,82,1,0,0,4,34,1,2,98,0,1,0,0,0,2,0,0,0,0,24
강력범죄,강제추행,2986,6925,1482,33,11,29,68,580,13,51,1638,12,14,0,13,0,17,5,2,0,0,476
강력범죄,기타 강간 강제추행등,46,222,64,2,0,1,2,39,0,2,122,1,16,5,4,0,0,0,1,0,0,28
강력범죄,방화,517,507,17,2,31,1,1,194,2,9,73,2,4,6,4,0,1,0,7,0,0,104
절도범죄,절도,8845,67351,2823,58,454,267,517,1982,856,1292,28322,260,692,5,935,101,38,75,130,701,30,11634
폭력범죄,상해,8520,23019,9967,33,64,0,476,2134,6,30,765,4,5,18,0,0,46,12,2,0,2,1216
폭력범죄,폭행,46446,76177,7092,46,107,8,618,4970,13,35,1142,5,13,18,0,0,29,21,2,0,2,3780
폭력범죄,체포 감금,163,378,233,9,1,0,8,92,2,0,31,0,0,1,0,0,3,1,0,0,0,37
폭력범죄,협박,1491,3185,2712,16,4,0,293,117,1,7,287,0,0,0,1,0,14,5,0,0,0,171
폭력범죄,약취 유인,15,60,51,1,0,0,1,14,0,1,13,0,0,0,0,0,1,0,0,0,0,24
폭력범죄,폭력행위등,9656,15801,2732,36,64,3,219,2072,2,23,1941,3,4,1,2,0,33,14,5,0,2,1167
폭력범죄,공갈,137,702,740,15,1,0,165,23,0,5,881,0,1,0,0,0,7,2,0,1,0,186
폭력범죄,손괴,7793,15586,3164,54,113,7,301,722,18,16,812,7,31,0,3,0,19,7,8,0,1,806
지능범죄,직무유기,1,3,199,85,0,0,9,3,0,0,16,0,0,0,0,0,2,0,0,0,0,18
지능범죄,직권남용,1,3,199,34,0,0,6,2,0,0,13,0,0,0,0,0,6,0,1,0,0,10
지능범죄,증수뢰,4,1,13,27,0,0,7,4,0,3,119,0,0,0,0,0,0,2,0,0,0,49
지능범죄,통화,8,75,0,14,1,0,6,17,0,0,29,0,0,0,1,0,0,1,0,0,0,22
지능범죄,문서 인장,247,350,6811,1202,31,3,1177,684,3,110,662,1,5,0,1,0,50,21,5,0,0,853
지능범죄,유가증권인지,3,10,159,13,1,0,5,7,0,1,15,0,1,0,0,0,4,0,0,0,0,14
지능범죄,사기,8023,19243,91643,703,184,4,55776,530,46,338,7118,3,49,7,29,0,441,136,12,2,20,8387
지능범죄,횡령,294,4302,16397,754,76,4,973,270,9,159,1946,11,2,0,0,0,76,9,8,108,4,1047
지능범죄,배임,1,22,3126,313,2,0,64,4,0,0,135,0,0,0,0,0,27,2,0,0,0,197
풍속범죄,성풍속범죄,3565,2813,917,90,57,45,332,603,106,284,3964,1,14,0,9,0,14,4,24,0,1,1679
풍속범죄,도박범죄,1851,165,38,24,31,0,116,2440,1,33,1798,0,0,1,1,0,9,10,2,0,1,1690
특별경제범죄,특별경제범죄,10932,8595,19564,5883,53,1,4922,1090,17,153,3119,3,5,0,2,0,174,51,8,2,3,3159
마약범죄,마약범죄,205,129,4,65,287,0,8,295,9,34,3802,0,17,2,1,0,6,14,15,0,0,1210
보건범죄,보건범죄,373,347,410,5179,9,0,485,2220,4,408,2145,0,1,0,0,0,18,36,3,0,0,2666
환경범죄,환경범죄,30,39,41,1602,9,12,21,369,1,70,159,0,1,0,0,0,6,2,0,0,0,502
교통범죄,교통범죄,7844,204403,550,1042,12575,23,245,67992,15,161177,2484,7,48,18,5,0,24,172,30,5,4,76754
노동범죄,노동범죄,27,16,38,467,4,0,45,63,0,19,259,0,0,1,0,0,1,1,0,0,0,177
안보범죄,안보범죄,6,9,5,9,0,0,0,3,0,0,24,0,0,0,0,0,7,0,0,0,0,40
선거범죄,선거범죄,4,1,75,218,0,0,16,23,0,0,325,0,0,0,0,0,13,3,0,0,0,59
병역범죄,병역범죄,2,8,154,17716,26,1,33,17,0,55,38,0,1,0,1,0,11,4,0,0,7,300
기타범죄,기타범죄,24761,13093,40437,24737,339,26,7603,25634,196,11200,17032,6,85,352,6,1,348,313,31,266,8,23630
