범죄대분류,범죄중분류,현행범,피해자신고,고소,고발,자수,민간체포,진정·투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관이송,범행도구발견,장물,전과조회,기타
강력범죄,살인기수,39,17,15,1,31,0,0,102,0,2,34,0,1,74,0,0,0,0,1,0,0,47
강력범죄,살인미수등,166,145,35,1,8,0,2,96,0,1,41,1,1,1,0,0,0,0,4,0,0,35
강력범죄,강도,213,738,55,2,4,11,6,42,4,14,275,5,31,5,15,0,3,1,2,1,0,119
강력범죄,강간,336,2314,828,9,14,3,37,222,1,5,1049,2,19,2,3,0,3,4,4,0,1,195
강력범죄,유사강간,35,174,39,1,0,0,5,19,1,0,61,0,3,0,0,0,1,0,0,0,0,20
강력범죄,강제추행,3111,6276,1450,22,18,24,78,412,5,23,1611,12,11,1,7,0,12,2,0,0,1,508
강력범죄,기타 강간 강제추행등,90,515,86,3,1,1,3,50,0,7,198,0,24,3,1,0,1,0,0,0,1,53
강력범죄,방화,447,523,8,0,25,1,3,198,1,8,92,3,5,2,3,0,0,0,7,0,0,93
절도범죄,절도,9222,60391,2969,66,566,445,414,1844,457,1310,28142,178,694,20,918,25,45,102,168,593,14,10884
폭력범죄,상해,9540,23240,10840,35,50,2,466,2046,5,28,541,4,2,21,1,0,25,17,1,0,2,1311
폭력범죄,폭행,44626,63076,6666,39,101,5,453,3690,1,25,697,2,6,26,4,0,30,19,2,0,1,3623
폭력범죄,체포 감금,122,307,279,4,0,0,14,75,0,1,37,0,0,1,0,0,8,0,0,0,0,16
폭력범죄,협박,657,1298,2126,10,4,0,149,27,0,0,164,0,0,0,0,0,14,0,0,0,0,127
폭력범죄,약취 유인,8,48,41,3,2,0,1,21,1,3,29,1,0,0,0,0,1,0,0,0,0,13
폭력범죄,폭력행위등,10512,16238,2816,21,61,4,149,1971,9,23,1833,11,11,3,9,0,23,12,6,2,2,1135
폭력범죄,공갈,151,931,697,3,4,0,140,25,1,5,1276,0,3,0,0,0,13,1,0,2,0,271
폭력범죄,손괴,7727,14358,3084,61,65,3,300,600,6,26,514,8,29,0,2,0,21,5,4,0,1,729
지능범죄,직무유기,1,2,190,106,0,0,4,2,0,0,15,0,0,1,0,0,6,0,0,0,0,12
지능범죄,직권남용,0,4,186,29,0,0,7,1,0,0,9,0,0,0,0,0,1,0,0,0,0,10
지능범죄,증수뢰,4,1,19,15,1,0,9,4,0,0,145,0,0,0,0,0,1,1,0,0,0,42
지능범죄,통화,8,31,0,6,3,0,12,42,0,0,10,0,2,0,0,0,0,0,1,0,0,39
지능범죄,문서 인장,186,339,6616,1226,25,4,1008,628,3,88,331,0,5,0,3,0,40,22,1,0,1,990
지능범죄,유가증권인지,7,19,198,14,0,0,4,7,0,0,9,0,0,0,0,0,2,0,0,0,0,17
지능범죄,사기,7619,18256,87366,591,227,18,37735,577,98,431,4108,2,22,11,6,0,499,137,1,12,36,6842
지능범죄,횡령,196,2828,15290,620,58,6,927,331,13,124,995,2,3,0,0,0,49,17,4,59,0,1239
지능범죄,배임,0,25,3173,344,0,0,61,2,1,1,197,0,0,0,0,0,24,2,0,0,0,156
풍속범죄,성풍속범죄,2824,2995,1986,25,29,45,338,455,106,120,4462,5,79,0,5,0,10,6,51,0,1,1484
풍속범죄,도박범죄,1800,192,15,27,24,1,66,2394,2,45,2139,0,1,0,1,0,12,17,0,0,0,1362
특별경제범죄,특별경제범죄,9551,7725,17733,6707,74,5,4053,1147,19,156,2642,0,0,2,2,0,157,53,2,1,2,2627
마약범죄,마약범죄,123,42,5,76,243,0,11,244,3,49,2628,0,8,4,1,0,5,7,9,0,4,1105
보건범죄,보건범죄,414,313,412,6315,10,0,437,2235,0,236,1863,0,0,3,2,0,16,22,1,0,0,2158
환경범죄,환경범죄,25,20,49,1680,7,3,34,296,0,67,99,0,2,0,0,0,3,4,0,0,0,173
교통범죄,교통범죄,9416,189395,514,1691,13059,30,211,64184,15,156642,2255,11,49,31,7,2,30,242,27,2,3,81081
노동범죄,노동범죄,35,17,35,294,2,0,32,65,2,111,258,0,0,1,0,0,4,1,0,0,0,426
안보범죄,안보범죄,5,5,9,1,0,0,2,3,2,0,22,0,0,0,0,0,2,0,0,0,0,25
선거범죄,선거범죄,41,43,284,663,3,0,43,88,3,4,413,0,0,0,0,0,32,6,0,0,0,101
병역범죄,병역범죄,2,12,165,18108,34,0,2,6,4,35,30,0,0,0,0,0,4,7,0,0,3,300
기타범죄,기타범죄,26478,11708,34096,27045,319,28,5017,20005,271,4312,13416,11,83,377,8,0,296,283,26,560,9,19546
