범죄대분류,범죄중분류,현행범,피해자신고,고소,고발,자수,민간체포,"진정,투서",타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관,범행도구발견,장물,전과조회,기타
강력범죄,살인기수,47,8,9,1,29,0,1,103,1,0,32,1,0,76,0,0,0,0,1,0,0,39
강력범죄,살인미수등,217,120,27,0,12,1,0,102,0,1,36,0,0,0,0,0,2,0,6,0,0,37
강력범죄,강도,157,587,38,1,6,3,3,59,2,7,205,2,19,5,3,0,2,1,6,0,0,62
강력범죄,강간,331,2506,1176,8,9,6,43,278,2,3,555,0,10,6,2,0,9,1,1,0,0,151
강력범죄,유사강간,35,316,106,0,0,0,3,31,0,0,56,0,1,0,0,0,0,0,0,0,0,20
강력범죄,강제추행,3103,7866,1973,39,22,21,101,777,10,30,1004,2,9,2,8,0,14,4,2,0,0,397
강력범죄,기타 강간 강제추행등,35,203,43,1,1,1,1,33,0,0,57,0,6,1,0,0,0,0,0,0,0,26
강력범죄,방화,442,479,14,0,19,1,1,220,3,3,71,6,3,4,0,0,1,0,1,0,0,95
절도범죄,절도범죄,7378,71228,2515,51,415,208,581,1804,448,925,21283,198,534,7,579,68,33,79,80,417,20,9746
폭력범죄,상해,9132,24751,9256,30,88,2,562,2830,9,38,846,3,4,16,0,1,28,13,0,0,1,1130
폭력범죄,폭행,46112,91357,7888,37,116,1,738,6145,39,49,1202,4,12,18,1,0,26,25,1,0,2,3902
폭력범죄,체포 감금,227,540,242,13,2,0,15,127,1,1,35,0,0,0,0,0,5,1,0,0,0,38
폭력범죄,협박,3252,7334,2928,16,20,1,330,314,1,13,354,0,2,1,0,0,19,8,2,0,0,448
폭력범죄,약취 유인,20,73,34,1,1,0,1,14,0,1,20,1,0,0,0,0,0,1,0,0,0,24
폭력범죄,폭력행위등,2937,6097,1309,12,16,1,99,890,5,19,753,5,7,0,1,0,14,3,3,0,0,433
폭력범죄,공갈,156,902,754,22,2,0,185,39,1,5,823,0,0,0,0,0,14,1,0,0,0,182
폭력범죄,손괴,7871,18092,3161,72,104,5,378,889,13,18,929,10,40,0,5,1,19,5,1,0,1,848
지능범죄,직무유기,0,2,189,81,0,0,9,0,0,0,42,0,0,0,0,0,3,0,0,0,0,10
지능범죄,직권남용,0,5,221,19,0,0,7,1,0,0,18,0,0,0,0,0,0,2,0,0,0,11
지능범죄,증수뢰,10,0,15,39,0,0,12,3,0,0,113,0,0,0,0,0,1,4,0,0,0,50
지능범죄,통화,6,46,0,8,2,0,3,18,0,0,21,0,1,0,0,0,0,0,0,0,0,18
지능범죄,문서 인장,228,306,6514,972,17,2,1136,871,5,234,242,0,1,0,0,0,31,13,4,0,3,686
지능범죄,유가증권인지,1,5,144,8,0,0,2,5,0,0,5,0,0,0,0,0,1,0,0,0,0,13
지능범죄,사기,7774,18621,87936,785,234,6,63024,1540,66,255,6717,5,54,6,46,0,470,96,24,3,75,9622
지능범죄,횡령,331,6099,14433,678,90,3,990,356,12,132,1953,12,5,0,3,0,75,14,6,128,2,1148
지능범죄,배임,0,24,2974,297,3,0,58,6,1,1,162,0,0,0,0,0,17,1,0,0,0,414
풍속범죄,성풍속범죄,1969,3311,689,33,14,31,376,779,12,229,2632,6,7,0,4,0,14,6,38,0,0,1266
풍속범죄,도박범죄,1488,191,26,25,56,2,226,2453,6,48,5297,0,0,2,2,0,20,26,5,0,2,3309
특별경제범죄,특별경제범죄,11208,8228,15197,4779,75,2,3553,1212,8,104,2454,2,2,0,1,0,127,41,6,1,2,3606
마약범죄,마약범죄,298,92,6,110,289,2,5,510,5,74,3728,4,22,0,0,0,14,20,17,0,2,1898
보건범죄,보건범죄,328,450,394,5170,8,3,397,2378,2,665,1932,0,1,0,0,0,20,19,0,0,1,2679
환경범죄,환경범죄,10,28,52,2073,4,1,46,278,2,1339,167,0,0,0,0,0,5,2,1,0,0,244
교통범죄,교통범죄,8389,198545,559,1787,11113,15,215,60812,11,185258,2469,23,36,21,19,1,24,180,6,1,2,70151
노동범죄,노동범죄,22,21,42,383,0,0,185,85,3,16,856,0,0,1,0,0,5,70,0,0,0,744
안보범죄,안보범죄,3,6,9,3,1,0,1,4,0,0,19,0,0,0,0,0,2,0,0,0,0,21
선거범죄,선거범죄,23,20,87,351,0,0,17,51,0,4,236,0,0,0,2,0,10,7,1,0,0,86
병역범죄,병역범죄,4,10,148,15161,4,0,32,12,2,25,45,0,0,1,0,0,6,6,0,0,5,237
기타범죄,기타범죄,26409,14513,43895,24213,406,27,7192,24761,78,36165,20089,13,53,379,14,2,393,2376,36,200,10,36728
