"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"제주특별자치도",제주특별자치도 제주시 조천읍 신촌리 1385-2,,다목적,4,,조천읍 신촌리,30,,064-710-8855,33.51773414,126.6199416,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 성산읍 수산리 1292-3,,다목적,4,,수산리 삼거리,30,,064-710-8855,33.44901472,126.880081,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 성산읍 수산리 732-3,,다목적,5,,수산사거리,30,,064-710-8855,33.44350098,126.8842644,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 성산읍 신산리 1001-2,,다목적,3,,신산중학교 동북쪽 삼거리(1001-2),30,,064-710-8855,33.38342666,126.8754211,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 표선면 가시리 2520-1,,다목적,3,,정석비행장 입구 사거리(가시리 2520-1),30,,064-710-8855,33.36092622,126.7668939,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 표선면 원님로725,,다목적,3,,가시리사거리방향,30,,064-710-8855,33.36026466,126.7656286,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 수망리 산 130-1,,다목적,3,,수망사거리 북측,30,,064-710-8855,33.34864889,126.6997246,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 신흥리 21-3,,다목적,3,,신흥리 일주동로 대호편의점앞(토산방향),30,,064-710-8855,33.3477533,126.732152,2019-07-18
"제주특별자치도",제주특별자치도 제주시 한림읍 금악리 402-1,,다목적,3,,금악삼거리,30,,064-710-8855,33.34608003,126.3149987,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 한남리 990-2,,다목적,3,,수망사거리 서측,30,,064-710-8855,33.33637836,126.6935324,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 표선면 중산간동로5517,,다목적,3,,토산1리 토산세화로방향,30,,064-710-8855,33.3287428,126.770056,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 신흥리 857-2,,다목적,3,,고수동 입구,30,,064-710-8855,33.32231941,126.7574774,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 표선면 세화로154,,다목적,3,,세화로 154번지 도로변,30,,064-710-8855,33.3177401,126.7906443,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 하례리 64-14,,다목적,3,,하례리 서성로입구 삼거리 동측,30,,064-710-8855,33.3174429,126.6004229,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 신흥리 1576-3,,다목적,4,,신흥2리 오거리(1576-3),30,,064-710-8855,33.31694693,126.7446147,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 한남리 1657,,다목적,3,,한남교차로,30,,064-710-8855,33.31189326,126.6961614,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 하례리 1869-3,,다목적,3,,하례리 양마단지 입구 학림교 동측,30,,064-710-8855,33.30074312,126.6027979,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 동홍동 2145-2,,다목적,3,,산록도로 전망대,30,,064-710-8855,33.2915909,126.5550435,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 안덕면 서광리 786-2,,다목적,4,,서광 소인국테마마크 앞,30,,064-710-8855,33.28886499,126.3228438,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 남원읍 신례리 1419-14,,다목적,3,,하례입구교차로,30,,064-710-8855,33.2848502,126.6180288,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 안덕면 상창리 1903-1,,다목적,4,,자동차박물관,30,,064-710-8855,33.28179582,126.3540485,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 안덕면 덕수리 산3-17,,다목적,2,,성일레미콘앞,30,,064-710-8855,33.27605536,126.3335877,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 대정읍 무릉리 385-1,,다목적,3,,한경면 산양리(무릉2리교차로),30,,064-710-8855,33.27390823,126.2445697,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 동홍동 1005-2,,다목적,2,,남주고등학교 입구,30,,064-710-8855,33.26978726,126.5693061,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 하원동 690-6,,다목적,2,,탐라대 입구 삼거리,30,,064-710-8855,33.2638242,126.4604066,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 하효동 1068-3,,다목적,2,,쇠소깍 입구 삼가로,30,,064-710-8855,33.25256136,126.6172019,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 대정읍 보성리 1686-3,,다목적,2,,보성리사무소,30,,064-710-8855,33.25136992,126.2742263,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 상예동 3194-1,,다목적,4,,예래동체육공원 앞,30,,064-710-8855,33.24578188,126.3817481,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 안덕면 사계리 2975-5,,다목적,5,,산방산(사계리),30,,064-710-8855,33.23608583,126.2976931,2019-07-18
"제주특별자치도",제주특별자치도 서귀포시 강정동 608-2,,다목적,2,,강정동 좀당 4가로,30,,064-710-8855,33.23593353,126.5057352,2019-07-18
