"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"제주특별자치도 제주시",제주특별자치도 제주시 광양9길 10,,시설물관리,23,,,,,064-728-2044,33.50022407,126.5322311,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 광양9길 10,,시설물관리,16,,,,,064-728-2044,33.50022407,126.5322311,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 광양9길 3,,시설물관리,16,,,,,064-728-2044,33.50003468,126.5299422,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 광양9길 13,,시설물관리,4,,,,,064-728-2044,33.48295235,126.4719591,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 광양9길 17,,시설물관리,6,,,,,064-728-2044,33.50038693,126.5315182,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 이도이동 1052-2,,시설물관리,27,,,,,064-728-3243,33.49678487,126.5349256,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 2322-7,,시설물관리,2,,,,,064-728-3243,33.49105883,126.4860417,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 노형동 1297-5,,시설물관리,6,,,,,064-728-3243,33.48794071,126.4787793,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 용두암길 15,,시설물관리,6,,,,,064-728-3243,33.51480245,126.5118044,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 고마로19길5,,시설물관리,29,,,,,064-728-3243,33.50482814,126.5419146,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 이도일동 1330-5,,시설물관리,7,,,,,064-728-3243,33.51084363,126.526068,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 다호북길7,,시설물관리,17,,,,,064-728-3243,33.50368126,126.4957122,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 동문로4길9,,시설물관리,37,,,,,064-728-3243,33.51208696,126.5282748,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 272-31,,시설물관리,36,,,,,064-728-3243,33.48905159,126.4914888,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 용두암길 15,,시설물관리,6,,,,,064-728-3243,33.51480245,126.5118044,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 다호북길7,,시설물관리,17,,,,,064-728-3243,33.50368126,126.4957122,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 고마로19길5,,시설물관리,29,,,,,064-728-3243,33.50482814,126.5419146,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 이도이동 1052-2,,시설물관리,27,,,,,064-728-3243,33.49678487,126.5349256,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 노형동 3812-2,,시설물관리,3,,,,,064-728-3553,33.4779003,126.4768245,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 1499,,시설물관리,3,,,,,064-728-3553,33.47867251,126.490582,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 오라2동 898-8,,시설물관리,3,,,,,064-728-3553,33.47508774,126.5155277,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 324-10,,시설물관리,3,,,,,064-728-3553,33.484399,126.5003705,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 272-56,,시설물관리,3,,,,,064-728-3553,33.48894525,126.4908989,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 연동 2322-7,,시설물관리,3,,,,,064-728-3553,33.49105883,126.4860417,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 이도2동 1176-126,,시설물관리,2,,,,,064-728-3553,33.50016657,126.5296602,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 일도2동 488-9,,시설물관리,2,,,,,064-728-3553,33.51068016,126.543517,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 삼도1동 560-2,,시설물관리,2,,,,,064-728-3553,33.49915844,126.5161719,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 중앙로 2,,시설물관리,2,,,,,064-728-3553,33.51811257,126.5239859,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 사라봉동길 21-1,,시설물관리,2,,,,,064-728-3553,33.51380832,126.5465644,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 서광로2길 24,,시설물관리,4,,,,,064-728-3283,33.49506069,126.5188028,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 서광로2길 24,,시설물관리,9,,,,,064-728-3273,33.49506069,126.5188028,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 선돌목동길 60,,시설물관리,30,,,,,064-728-8903,33.44457096,126.5492139,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 사라봉동길 21-1,,시설물관리,64,,,,,064-728-3485,33.51380832,126.5465644,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 서광로29길 17,,시설물관리,2,,,,,064-728-3957,33.50178465,126.5262214,2018-04-30
"제주특별자치도 제주시",제주특별자치도 제주시 한림읍 월각로 506-27,,시설물관리,10,,,,,064-728-3423,33.37942125,126.3208425,2018-04-30
