"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 시청",,서울특별시 용산구 이촌1동 302-15,재난재해,1,,서울 동작구 노량진 한강대교,0,,02-2100-5397,37.518342,126.959455,2018-03-07
"서울특별시 시청",,서울특별시 서초구 반포2동 647,재난재해,1,,서울 용산구 서빙고 잠수교,0,,02-2100-5397,37.514687,126.996512,2018-03-07
"서울특별시 시청",,서울특별시 강서구 개화동 224번지,재난재해,1,,서울 강서구 개화동 행주대교,0,,02-2100-5397,37.586655,126.801000,2018-03-07
"서울특별시 시청",,경기도 여주시 여주읍 상리 1번지,재난재해,1,,경기 여주군 여주읍 여주대교,0,,02-2100-5397,37.297080,127.639410,2018-03-07
"서울특별시 시청",,경기도 양평군 양평읍 양근리 228번지,재난재해,1,,경기 양평군 양평읍 양평교,0,,02-2100-5397,37.487724,127.492805,2018-03-07
"서울특별시 시청",,충청북도 충주시 엄정면 목계리 산1-6,재난재해,1,,충북 충주시 엄정면 목계교,0,,02-2100-5397,37.076888,127.882183,2018-03-07
"서울특별시 시청",,강원도 영월군 영월읍 덕포리 574-207,재난재해,1,,강원 영월군 영월읍 영월대교,0,,02-2100-5397,37.181450,128.476083,2018-03-07
"서울특별시 시청",,경기도 파주시 군내면 백연리 산 38-2번지,재난재해,1,,경기 파주시 군내면 통일대교,0,,02-2100-5397,37.905487,126.740140,2018-03-07
"서울특별시 시청",,경기도 파주시 적성면 가월리 113번지,재난재해,1,,경기 파주시 적성면 비룡대교,0,,02-2100-5397,37.978860,126.916480,2018-03-07
"서울특별시 시청",,경기도 연천군 전곡읍 고능리 산 138번지,재난재해,1,,경기 연천군 전곡읍 사랑교,0,,02-2100-5397,38.006820,127.052530,2018-03-07
"서울특별시 시청",,서울특별시 강동구 고덕동 108,재난재해,1,,고덕빗물펌프,0,,02-2100-5397,37.563281,127.157059,2018-03-07
"서울특별시 시청",,서울특별시 관악구 신림8동 1649,재난재해,1,,신림빗물펌프,0,,02-2100-5397,37.481044,126.909034,2018-03-07
"서울특별시 시청",,서울특별시 서초구 양재동 97-5,재난재해,1,,양재빗물펌프,0,,02-2100-5397,37.476500,127.040122,2018-03-07
"서울특별시 시청",,서울특별시 성동구 사근동 102-26,재난재해,1,,성동교,0,,02-2100-5397,37.553949,127.046321,2018-03-07
"서울특별시 시청",,서울특별시 송파구 잠실1동 2,재난재해,1,,봉은교,0,,02-2100-5397,37.515668,127.085641,2018-03-07
"서울특별시 시청",,서울특별시 송파구 가락1동 509,재난재해,1,,탄천빗물펌프,0,,02-2100-5397,37.496764,127.101179,2018-03-07
"서울특별시 시청",,서울특별시 도봉구 도봉동 76-32,재난재해,1,,상도교,0,,02-2100-5397,37.516122,126.966070,2018-03-07
"서울특별시 시청",,서울특별시 중랑구 중화동 404-4,재난재해,1,,중화 펌프장,0,,02-2100-5397,37.706580,127.837887,2018-03-07
"서울특별시 시청",,서울특별시 노원구 하계 312-36,재난재해,1,,월계1교하부,0,,02-2100-5397,37.604178,127.041000,2018-03-07
"서울특별시 시청",,서울특별시 노원구 상계동 851-6,재난재해,1,,상계교,0,,02-2100-5397,37.615609,127.050795,2018-03-07
"서울특별시 시청",,서울특별시 서대문구 북가좌동 392-1,재난재해,1,,증산교,0,,02-2100-5397,37.680519,127.043158,2018-03-07
"서울특별시 시청",,서울특별시 구로구 개봉동 189-2,재난재해,1,,개봉1펌프,0,,02-2100-5397,37.668774,127.047071,2018-03-07
"서울특별시 시청",,서울특별시 양천구 신정동 871-3,재난재해,1,,신정교,0,,02-2100-5397,37.683728,127.031817,2018-03-07
"서울특별시 시청",,서울특별시 성북구 하월곡동 35-5,재난재해,1,,월곡역앞,0,,02-2100-5397,37.601543,127.041565,2018-03-07
"서울특별시 시청",,경기도 평택시 고덕면 동청리 599-2,재난재해,1,,경기 평택시 팽성읍 군문교,0,,02-2100-5397,37.052700,126.997800,2018-03-07
"서울특별시 시청",,경기도 평택시 군문동 226번지,재난재해,1,,경기 평택시 동청리 동연교,0,,02-2100-5397,37.052677,126.995965,2018-03-07
"서울특별시 시청",,서울특별시 중랑구 중화동 447-26,재난재해,1,,서울 중랑구 중화동 중랑교,0,,02-2100-5397,37.603660,127.085014,2018-03-07
"서울특별시 시청",,서울특별시 양천구 신정동 141,재난재해,1,,서울 양천구 신정동 오금교,0,,02-2100-5397,37.516600,126.863870,2018-03-07
"서울특별시 시청",,서울특별시 강남구 율현동 116번지,재난재해,1,,서울 송파구 장지동 대곡교,0,,02-2100-5397,37.468550,127.120960,2018-03-07
"서울특별시 시청",,경기도 남양주시 퇴계원면 퇴계원리 131-6,재난재해,1,,경기 남양주 퇴계원면 진관교,0,,02-2100-5397,37.649874,127.151182,2018-03-07
"강북구",,서울특별시 강북구 삼양로138길 46(수유동) 앞,재난재해,1,,수유2동 우이천 덕수교,0,,02-2100-5397,37.648665,127.016703,2018-03-07
"강북구",,서울특별시 강북구 한천로 897(번동) 건너편,재난재해,1,,번2동 우이천 신창교,0,,02-2100-5397,37.632186,127.038825,2018-03-07
"부산광역시 시청",,부산광역시 동래구 수안동,재난재해,1,,연안교_상류방향,0,,02-2100-5397,35.193733,129.090783,2018-03-07
"부산광역시 시청",,부산광역시 동래구 수안동,재난재해,1,,연안교_하류방향,0,,02-2100-5397,35.193633,129.091753,2018-03-07
"부산광역시 시청",,부산광역시 동래구 수안동,재난재해,1,,세병교_상류방향,0,,02-2100-5397,35.197263,129.082683,2018-03-07
"부산광역시 시청",,부산광역시 동래구 수안동,재난재해,1,,세병교_하류방향,0,,02-2100-5397,35.196863,129.082983,2018-03-07
"남구청",,부산광역시 금정구 회동동 517-66,재난재해,1,,수영강생태_1,0,,02-2100-5397,35.230610,129.125930,2018-03-07
"남구청",,부산광역시 금정구 회동동 517-45,재난재해,1,,수영강생태_2,0,,02-2100-5397,35.227057,129.121319,2018-03-07
"남구청",,부산광역시 금정구 금사동 545-19?,재난재해,1,,수영강생태_3,0,,02-2100-5397,35.217183,129.118520,2018-03-07
"연제구청",,부산광역시 연제구 온천천공원길 40,재난재해,1,,거제1동 온천천,0,,02-2100-5397,35.194315,129.085390,2018-03-07
"대구광역시 시청",,대구광역시 북구 조야동 448,재난재해,1,,북구 서변동 무태교,0,,02-2100-5397,35.913354,128.576137,2018-03-07
"대구광역시 시청",,대구광역시 달성군 화원읍 성산리 327-1,재난재해,1,,달성군 화원읍 사문진교,0,,02-2100-5397,35.810326,128.477272,2018-03-07
"대구광역시 시청",,대구광역시 수성구 상동 667-37,재난재해,1,,수성구 상동 상동교,0,,02-2100-5397,35.832609,128.606719,2018-03-07
"대구광역시 시청",,대구광역시 동구 효목1동 산234-63,재난재해,1,,동구 검사동 아양교,0,,02-2100-5397,35.882031,128.647464,2018-03-07
"대구광역시 시청",,대구광역시 북구 조야동 136-2,재난재해,1,,북구 조야동 조야교,0,,02-2100-5397,35.915281,128.575468,2018-03-07
"대구광역시 시청",,대구광역시 수성구 파동 533-25,재난재해,1,,수성구 파동,0,,02-2100-5397,35.809249,128.618409,2018-03-07
"대구광역시 시청",,대구광역시 북구 노곡동 255-3,재난재해,1,,북구 관문동 팔달교,0,,02-2100-5397,35.905489,128.563649,2018-03-07
"대구광역시 시청",,대구광역시 동구 방촌동 1084-3,재난재해,1,,동구 방촌동 화랑교,0,,02-2100-5397,35.876562,128.661937,2018-03-07
"대구광역시 시청",,대구광역시 달서구 유천동 523-3번지,재난재해,1,,달서구 유천동 유천교,0,,02-2100-5397,35.810648,128.515307,2018-03-07
"대구광역시 시청",,대구광역시 달서구 장동 51번지,재난재해,1,,"대명천,고래천합류지점",0,,02-2100-5397,35.838516,128.519680,2018-03-07
"대구광역시 시청",,대구광역시 수성구 고모동 산6-4,재난재해,1,,금호강 고모동,0,,02-2100-5397,35.872603,128.669086,2018-03-07
"대구광역시 시청",,대구광역시 북구 검단동 121-3,재난재해,1,,금호강 검단동,0,,02-2100-5397,35.927772,128.624496,2018-03-07
"대구광역시 시청",,대구광역시 북구 산격동 14-45,재난재해,1,,금호강 산격동,0,,02-2100-5397,35.912202,128.604712,2018-03-07
"대구광역시 시청",,대구광역시 북구 노곡동 761,재난재해,1,,금호강 노곡동,0,,02-2100-5397,35.903686,128.563900,2018-03-07
"대구광역시 시청",,대구광역시 달성군 다사읍 방천리 21-1,재난재해,1,,금호강 방천리,0,,02-2100-5397,35.890371,128.508883,2018-03-07
"대구광역시 시청",,대구광역시 달성군 다사읍 매곡리 335-1,재난재해,1,,금호강 매곡리,0,,02-2100-5397,35.867456,128.465924,2018-03-07
"대구광역시 시청",,대구광역시 달성군 하빈면 하산리 1번지,재난재해,1,,낙동강 하산리,0,,02-2100-5397,35.902782,128.413267,2018-03-07
"대구광역시 시청",,대구광역시 달성군 논공읍 위천리 485-10,재난재해,1,,낙동강 위천리,0,,02-2100-5397,35.757553,128.392882,2018-03-07
"대구광역시 시청",,대구광역시 달성군 구지면 오설리 674-1,재난재해,1,,낙동강 오설리,0,,02-2100-5397,35.679366,128.363099,2018-03-07
"대구광역시 시청",,대구광역시 달성군 구지면 내리 774-23,재난재해,1,,낙동강 내리,0,,02-2100-5397,35.635151,128.401208,2018-03-07
"대구광역시 시청",,대구광역시 북구 매천동 669,재난재해,1,,매전보도교,0,,02-2100-5397,35.909517,128.545672,2018-03-07
"대구광역시 시청",,대구광역시 북구 동천동 838-5,재난재해,1,,동천역(럭키아파트),0,,02-2100-5397,35.941499,128.557235,2018-03-07
"대구광역시 시청",,대구광역시 북구 읍내동 1234-159,재난재해,1,,한양아파트앞,0,,02-2100-5397,35.940582,128.557196,2018-03-07
"대구광역시 시청",,대구광역시 북구 학정동 784,재난재해,1,,칠곡한서아파트건너,0,,02-2100-5397,35.948616,128.557705,2018-03-07
"대구광역시 시청",,대구광역시 북구 동변동 617-1,재난재해,1,,동화천,0,,02-2100-5397,35.922247,128.613735,2018-03-07
"대구광역시 시청",,대구광역시 북구 대현동 396,재난재해,1,,경대교,0,,02-2100-5397,35.886701,128.602287,2018-03-07
